Category: All categories

DMA,fried chicken: (3/5/20 - 3/5/21)
Wilkes Barre-Scranton PA,100
Erie PA,95
Harrisburg-Lancaster-Lebanon-York PA,83
Pittsburgh PA,79
Johnstown-Altoona PA,72
Philadelphia PA,66
Elmira NY,21
Youngstown OH,13
Buffalo NY,1
